Solana sol
Fetch.ai fet
XRP xrp
Chainlink link
BitcoinCash bch
Avalanche avax
Uniswap uni
LeoToken leo
Cardano ada
Tether usdt
Litecoin ltc
NearProtocol near
Toncoin ton
InternetComputer icp
BNB bnb
WrappedBitcoin wbtc
Bitcoin btc
USDC usdc
Polkadot dot
Tron trx
Ethereum eth
Dogecoin doge
LidoStakedEther steth
Polygon matic
ShibaInu shib
